operation, n, work
remove, 312522, 937592
remove, 170529, 511615
remove, 775514, 2326564
remove, 838236, 2514724
remove, 255452, 766380
remove, 163177, 489557
remove, 604032, 1812130
remove, 683235, 2049713
remove, 535985, 1607983
remove, 685472, 2056436
remove, 973955, 2921897
remove, 275961, 827915
remove, 294823, 884483
remove, 873506, 2620540
remove, 722501, 2167539
remove, 702459, 2107403
remove, 668937, 2006833
remove, 572420, 1717290
remove, 159108, 477346
remove, 848188, 2544584
